index,bpm,probability,time,downbeat
622,149.971909,0.962682843,124.45907,false
623,149.973099,0.962191701,124.659002,false
624,149.975922,0.961649835,124.859002,true
625,149.984375,0.961429834,125.05898,false
626,149.997406,0.96123755,125.258889,false
627,150.005341,0.961576462,125.45873,false
628,150.020691,0.961320579,125.658617,false
629,150.036743,0.960766017,125.85839,false
630,150.054276,0.960531414,126.058141,false
631,150.066132,0.960396111,126.257846,false
632,150.066132,0.960676253,126.457619,true
633,150.067688,0.960220933,126.657528,false
634,150.065155,0.960291564,126.857415,false
635,150.054749,0.961151302,127.057347,false
636,150.048492,0.961341679,127.257392,false
637,150.042557,0.960863352,127.457392,false
638,150.023331,0.960966706,127.657392,false
639,150.020889,0.960932791,127.857574,false
640,150.020889,0.960734129,128.057574,true
641,150.013046,0.960713387,128.257528,false
642,150.009827,0.960891843,128.457596,false
643,150.003952,0.960738242,128.657619,false
644,150.001358,0.961200297,128.857664,false
645,149.998459,0.960722148,129.057687,false
646,149.99736,0.960241377,129.25771,false
647,150.007187,0.960092664,129.45771,false
648,150.007187,0.960183382,129.657574,true
649,149.997131,0.960266769,129.857551,false
650,149.978836,0.960377634,130.057664,false
651,149.962601,0.96148634,130.257891,false
652,149.951843,0.962062001,130.458118,false
653,149.946976,0.961652219,130.658299,false
654,149.943604,0.961211264,130.858413,false
655,149.951736,0.960770726,131.058526,false
656,149.951736,0.961139023,131.258481,true
657,149.948227,0.961138248,131.458526,false
658,149.950714,0.960980296,131.658617,false
659,149.954544,0.961925745,131.858639,false
660,149.961868,0.962558448,132.058639,false
661,149.970825,0.962150872,132.258594,false
662,149.96521,0.961893857,132.458503,false
663,149.975479,0.961664438,132.658617,false
664,149.975479,0.962259889,132.858526,true
665,149.972061,0.962221563,133.058549,false
666,149.965866,0.962219596,133.258617,false
667,149.959366,0.962074876,133.45873,false
668,149.962997,0.962317288,133.658844,false
